id,relation_type,from_id,to_id,properties_json,review_status
relation:philosopher:cusanus:wrote:ddi,WROTE,philosopher:cusanus,work:cusanus:de-docta-ignorantia,"{""role"":""author"",""certainty"":1.0}",reviewed
relation:philosopher:hegel:wrote:wl,WROTE,philosopher:hegel,work:hegel:wissenschaft-der-logik,"{""role"":""author"",""certainty"":1.0}",reviewed
relation:philosopher:frank:wrote:nepostizhimoe,WROTE,philosopher:frank,work:frank:nepostizhimoe,"{""role"":""author"",""certainty"":1.0}",reviewed
relation:work:ddi:has-passage:1-1-la,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.1:la,"{""order"":1}",reviewed
relation:work:ddi:has-passage:1-1-en,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.1:en,"{""order"":2}",curated
relation:work:ddi:has-passage:1-1-ru,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.1:ru,"{""order"":3}",curated
relation:work:ddi:has-passage:1-4-la,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.4:la,"{""order"":4}",reviewed
relation:work:ddi:has-passage:1-4-en,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.4:en,"{""order"":5}",curated
relation:work:ddi:has-passage:1-4-de,HAS_PASSAGE,work:cusanus:de-docta-ignorantia,passage:cusanus:ddi:1.4:de,"{""order"":6}",curated
relation:work:wl:has-passage:being-de,HAS_PASSAGE,work:hegel:wissenschaft-der-logik,passage:hegel:wl:being:de,"{""order"":1}",reviewed
relation:work:wl:has-passage:being-en,HAS_PASSAGE,work:hegel:wissenschaft-der-logik,passage:hegel:wl:being:en,"{""order"":2}",curated
relation:work:wl:has-passage:being-ru,HAS_PASSAGE,work:hegel:wissenschaft-der-logik,passage:hegel:wl:being:ru,"{""order"":3}",curated
relation:work:frank:has-passage:meta-ru,HAS_PASSAGE,work:frank:nepostizhimoe,passage:frank:nepostizhimoe:meta:ru,"{""order"":1}",reviewed
relation:work:frank:has-passage:summary-en,HAS_PASSAGE,work:frank:nepostizhimoe,passage:frank:nepostizhimoe:summary:en,"{""order"":2}",curated
relation:work:frank:has-passage:summary-de,HAS_PASSAGE,work:frank:nepostizhimoe,passage:frank:nepostizhimoe:summary:de,"{""order"":3}",curated
relation:passage:cusanus:1-1:discusses:docta,DISCUSSES,passage:cusanus:ddi:1.1:la,concept:docta-ignorantia,"{""extraction_method"":""curated"",""confidence"":1.0,""review_status"":""reviewed""}",reviewed
relation:passage:cusanus:1-1-en:discusses:docta,DISCUSSES,passage:cusanus:ddi:1.1:en,concept:docta-ignorantia,"{""extraction_method"":""editorial"",""confidence"":1.0,""review_status"":""curated""}",curated
relation:passage:cusanus:1-1-ru:discusses:docta,DISCUSSES,passage:cusanus:ddi:1.1:ru,concept:docta-ignorantia,"{""extraction_method"":""editorial"",""confidence"":1.0,""review_status"":""curated""}",curated
relation:passage:cusanus:1-4:discusses:coincidentia,DISCUSSES,passage:cusanus:ddi:1.4:la,concept:coincidentia-oppositorum,"{""extraction_method"":""curated"",""confidence"":0.95,""review_status"":""reviewed""}",reviewed
relation:passage:cusanus:1-4-en:discusses:coincidentia,DISCUSSES,passage:cusanus:ddi:1.4:en,concept:coincidentia-oppositorum,"{""extraction_method"":""editorial"",""confidence"":0.95,""review_status"":""curated""}",curated
relation:passage:cusanus:1-4-de:discusses:coincidentia,DISCUSSES,passage:cusanus:ddi:1.4:de,concept:coincidentia-oppositorum,"{""extraction_method"":""editorial"",""confidence"":0.95,""review_status"":""curated""}",curated
