id,work_id,source_id,language,text,text_kind,is_verbatim,is_machine_generated,is_editorial,translation_of_passage_id,position_label,section_order,citation_label,license_status,review_status
passage:cusanus:ddi:1.1:la,work:cusanus:de-docta-ignorantia,source:cusanus:opera-omnia-1932,la,"Cum omnis inquisitio in comparativa proportionali relatione sit facilis, difficilis autem cum ad infinita pervenitur; manifestum est, cum infinitum omnem proportionem aufugiat, ipsum incomprehensibile esse.",primary_quote,true,false,false,,"Liber I, cap. 1",1,"De docta ignorantia I.1",source_text_verify,reviewed
passage:cusanus:ddi:1.1:en,work:cusanus:de-docta-ignorantia,source:project-editorial,en,"Editorial summary: finite inquiry proceeds through comparison and proportion, whereas the infinite exceeds proportion and cannot be comprehended by finite intellect.",editorial_summary,false,false,true,passage:cusanus:ddi:1.1:la,"Book I, chapter 1",1,"Editorial summary of De docta ignorantia I.1",editorial_original,curated
passage:cusanus:ddi:1.1:ru,work:cusanus:de-docta-ignorantia,source:project-editorial,ru,"Редакторское изложение: конечное познание действует через сравнение и соразмерность, тогда как бесконечное превосходит всякую пропорцию и не может быть исчерпано конечным рассудком.",editorial_summary,false,false,true,passage:cusanus:ddi:1.1:la,"Книга I, глава 1",1,"Редакторское изложение De docta ignorantia I.1",editorial_original,curated
passage:cusanus:ddi:1.4:la,work:cusanus:de-docta-ignorantia,source:cusanus:opera-omnia-1932,la,"Maximum absolutum incomprehensibiliter intelligitur, cum quo minimum coincidit.",primary_quote,true,false,false,,"Liber I, cap. 4",4,"De docta ignorantia I.4",source_text_verify,reviewed
passage:cusanus:ddi:1.4:en,work:cusanus:de-docta-ignorantia,source:project-editorial,en,"Editorial summary: Cusanus presents the absolute maximum as beyond finite comprehension and articulates its relation to the minimum as coincidence rather than ordinary opposition.",editorial_summary,false,false,true,passage:cusanus:ddi:1.4:la,"Book I, chapter 4",4,"Editorial summary of De docta ignorantia I.4",editorial_original,curated
passage:cusanus:ddi:1.4:de,work:cusanus:de-docta-ignorantia,source:project-editorial,de,"Redaktionelle Erläuterung: Cusanus bestimmt das absolute Maximum als für den endlichen Verstand unbegreiflich und beschreibt sein Verhältnis zum Minimum als Koinzidenz, nicht als gewöhnlichen Gegensatz.",editorial_summary,false,false,true,passage:cusanus:ddi:1.4:la,"Buch I, Kapitel 4",4,"Redaktionelle Erläuterung zu De docta ignorantia I.4",editorial_original,curated
passage:hegel:wl:being:de,work:hegel:wissenschaft-der-logik,source:hegel:gutenberg-6729,de,"Das Werden, Entstehen und Vergehen, ist die Ungetrenntheit des Seyns und Nichts; nicht die Einheit, welche vom Seyn und Nichts abstrahirt; sondern als Einheit des Seyns und Nichts ist es diese bestimmte Einheit.",primary_quote,true,false,false,,"Erstes Buch; Sein; Werden",1,"Wissenschaft der Logik, Band 1",public_domain_us,reviewed
passage:hegel:wl:being:en,work:hegel:wissenschaft-der-logik,source:project-editorial,en,"Editorial summary: Hegel characterizes becoming as the inseparability of being and nothing, not as an abstract unity that leaves their determination behind.",editorial_summary,false,false,true,passage:hegel:wl:being:de,"Book One; Being; Becoming",1,"Editorial summary of Wissenschaft der Logik, Being/Becoming",editorial_original,curated
passage:hegel:wl:being:ru,work:hegel:wissenschaft-der-logik,source:project-editorial,ru,"Редакторское изложение: Гегель определяет становление как нераздельность бытия и ничто, а не как абстрактное единство, отвлечённое от обоих моментов.",editorial_summary,false,false,true,passage:hegel:wl:being:de,"Книга первая; Бытие; Становление",1,"Редакторское изложение Wissenschaft der Logik, бытие/становление",editorial_original,curated
passage:frank:nepostizhimoe:meta:ru,work:frank:nepostizhimoe,source:frank:nepostizhimoe-bibliography,ru,"Библиографическая заметка проекта: «Непостижимое» (1939) — ключевая работа Семёна Франка о реальности, не исчерпываемой понятийным овладением. Дословный текст произведения в этот корпус не включён.",bibliographic_note,false,false,true,,"Библиографическая запись",1,"Проектная библиографическая заметка о «Непостижимом»",rights_to_verify,reviewed
passage:frank:nepostizhimoe:summary:en,work:frank:nepostizhimoe,source:project-editorial,en,"Editorial summary: Frank's The Unknowable examines dimensions of reality that cannot be exhausted by conceptual possession; this record is a project-authored explanation, not a quotation or published translation.",editorial_summary,false,false,true,passage:frank:nepostizhimoe:meta:ru,"Editorial summary",1,"Editorial summary about The Unknowable",editorial_original,curated
passage:frank:nepostizhimoe:summary:de,work:frank:nepostizhimoe,source:project-editorial,de,"Redaktionelle Erläuterung: Franks Das Unergründliche behandelt Dimensionen der Wirklichkeit, die sich nicht vollständig begrifflich aneignen lassen; dieser Eintrag ist keine Übersetzung und kein Zitat.",editorial_summary,false,false,true,passage:frank:nepostizhimoe:meta:ru,"Redaktionelle Erläuterung",1,"Redaktionelle Erläuterung zu Das Unergründliche",editorial_original,curated
